LocationID,UniversalReefID
1059279,35
1257216,39
1257218,32
1059263,34
939532,18
1257232,41
1059278,15
1059269,31
1059267,9
1059268,9
1059274,5
1059275,5
1059261,36
1059262,36
1059276,16
1059277,16
1059284,62
1059285,62
1059286,7
1059280,8
1059281,8
1257214,37
1059282,59
1059283,59
1059270,6
1059271,6
1059272,6
1059273,6
1059264,65
1059265,65
1059266,65
1059291,65
864680,5600
864855,5600
945759,5600
864854,5615
945758,5615
864852,5614
864853,5614
945756,5614
945757,5614
864856,5619
945760,5619
864866,5616
945770,5616
864851,5613
945755,5613
864863,5617
864864,5617
864865,5617
945767,5617
945768,5617
945769,5617
864850,5612
945754,5612
864857,5620
945761,5620
864858,5621
945762,5621
864832,5596
945736,5596
864862,5618
945766,5618
864580,5595
864829,5595
864830,5595
864831,5595
945733,5595
945734,5595
945735,5595
864827,5594
864828,5594
945731,5594
945732,5594
864861,5623
945765,5623
864824,5593
864825,5593
864826,5593
945728,5593
945729,5593
945730,5593
864823,5592
945727,5592
864820,5591
864821,5591
864822,5591
945724,5591
945725,5591
945726,5591
864591,5590
864817,5590
864818,5590
864819,5590
945721,5590
945722,5590
945723,5590
864834,5598
945738,5598
864611,5597
864833,5597
945737,5597
864839,5602
945743,5602
864838,5601
945742,5601
864582,5624
864702,5624
864596,5630
864715,5630
864615,5642
864733,5642
864614,5641
864732,5641
864610,5639
864729,5639
864663,5664
864664,5664
864779,5664
864780,5664
864674,5670
864675,5670
864676,5670
864677,5670
864790,5670
864791,5670
864792,5670
864793,5670
864678,5671
864679,5671
864794,5671
864795,5671
864681,5672
864682,5672
864796,5672
864797,5672
864683,5673
864684,5673
864798,5673
864799,5673
864685,5674
864800,5674
864694,5678
864809,5678
864688,5676
864689,5676
864690,5676
864803,5676
864804,5676
864805,5676
864575,5668
864686,5668
864687,5668
864801,5668
864802,5668
864691,5677
864692,5677
864693,5677
864806,5677
864807,5677
864808,5677
864695,5679
864810,5679
864699,5681
864813,5681
864697,5675
864812,5675
864696,5680
864811,5680
864576,5682
864577,5682
864700,5682
864701,5682
864814,5682
864815,5682
864816,5682
1303192,15456
864488,11583
1303190,12081
918382,11403
918383,11403
918384,11403
1303168,11403
1303157,11556
1303175,11554
1303178,11600
1303412,11814
1303415,11814
1303182,11707
1303254,15145
864480,13744
1303310,13742
1303198,11998
1303217,11998
1303196,15119
1303315,11901
864474,11901
1303321,11800
1303354,14907
1303359,14863
1303326,14861
1303361,14866
864467,16166
864458,10002
864554,9525
1303430,9411
1303242,9407
1303245,9421
1303246,9424
1303241,9398
864490,9347
1303429,9341
1303428,9342
1303240,9332
1303239,9325
1303238,9322
864550,9450
1303250,9593
1303249,9499
1303248,13521
1303247,13520
918395,9025
1045093,9025
918393,9038
918394,9038
1303244,9038
864493,13536
1303235,9033
1303236,9032
1303237,9032
1303243,9030
918331,9044
918391,9044
918392,9044
1303251,9044
1303421,10470
1303181,10468
1303159,10553
1303158,10546
864485,11064
864487,10689
1303177,11475
1303172,11445
1303169,11423
1303170,11428
1303176,11466
1303171,11439
1303174,15283
1303165,11126
1303156,10091
1303183,11791
1303166,11979
1303160,10642
1303173,10643
1303180,11557
1303420,11553
918330,11982
918385,11982
918386,11982
1303188,11982
1303427,10701
1303426,11665
1303425,10086
1303191,11377
1303424,10718
1303186,10757
1303419,10726
1303161,10844
1303184,10730
1303162,10733
1303187,10781
1303185,10740
1303163,10777
1303154,12065
1303233,12065
1303418,10811
1303232,10794
1303409,12066
1303416,10834
864484,12099
1303410,11571
1303411,11019
1303414,11143
864489,10104
1303413,15525
1303381,11107
1303387,11257
1303383,11284
1303152,11283
1303155,11286
1303164,10957
