"fwcoymap_id","all_oysters_id","UniversalReefID"
"456265",8,1
"456266",8,2
"456252",13,3
"435847",73,4
"435849",74,5
"435859",75,6
"435855",76,7
"435856",77,8
"435848",78,9
"435851",79,10
"435852",80,11
"435844",81,12
"435824",82,13
"435828",83,14
"435843",84,15
"435853",85,16
"435831",86,17
"435829",87,18
"435802",88,19
"435798",89,20
"435805",90,21
"435799",91,22
"435811",92,23
"435833",93,24
"435832",94,25
"435810",95,26
"435800",96,27
"435845",97,28
"435817",98,29
"435842",99,30
"435846",100,31
"435822",101,32
"435807",102,33
"435827",103,34
"435812",104,35
"435850",105,36
"435857",106,37
"435808",107,38
"435813",108,39
"435836",109,40
"435837",110,41
"435835",111,42
"435830",112,43
"435816",113,44
"435815",114,45
"435823",115,46
"435814",116,47
"435825",117,48
"435820",118,49
"435819",119,50
"435839",120,51
"435818",121,52
"435826",122,53
"435804",123,54
"435841",124,55
"435840",125,56
"435838",126,57
"435821",127,58
"435858",128,59
"435834",129,60
"435804",130,61
"435854",131,62
"435809",132,63
"435803",133,64
"435860",134,65
"435801",135,66
"435806",136,67
"435209",137,68
"432800",138,69
"433245",139,70
"434627",145,71
"433979",146,72
"435039",147,73
"434023",148,74
"432964",149,75
"434769",150,76
"434552",151,77
"434389",152,78
"434496",154,79
"433144",155,80
"433234",155,81
"433158",156,82
"432188",157,83
"434831",161,84
"433881",162,85
"433200",163,86
"434165",163,87
"433354",164,88
"434353",165,89
"433100",166,90
"433938",167,91
"434722",168,92
"434975",168,93
"434665",169,94
"434334",170,95
"433068",171,96
"432848",172,97
"433333",173,98
"432465",174,99
"432695",175,100
"432498",176,101
"432190",177,102
"432269",178,103
"432484",179,104
"433755",180,105
"434026",181,106
"434259",182,107
"435035",183,108
"434548",184,109
"432760",185,110
"434163",186,111
"433504",187,112
"432582",188,113
"433380",189,114
"434179",190,115
"432557",191,116
"435210",192,117
"433580",193,118
"432739",194,119
"432602",195,120
"432926",196,121
"435201",197,122
"435143",198,123
"434034",199,124
"434327",200,125
"434151",201,126
"434608",202,127
"433398",203,128
"434634",204,129
"434081",205,130
"434743",206,131
"435450",207,132
"432254",208,133
"435154",209,134
"433880",210,135
"434495",211,136
"435397",212,137
"433856",213,138
"434108",214,139
"434710",215,140
"434873",216,141
"434945",217,142
"433753",218,143
"433509",219,144
"434489",220,145
"433806",221,146
"434331",222,147
"433867",223,148
"434580",224,149
"434370",225,150
"435345",226,151
"434767",227,152
"434751",228,153
"433850",229,154
"433472",230,155
"434240",231,156
